family	sample	number	group	median_VAF	mean_VAF	depth
M1	P1	88	mosaic embryos	0.0901703	0.152529	60.82
M1	P2	73	mosaic embryos	0.295918	0.244222	78.29
M1	P3	58	mosaic embryos	0.255435	0.256174	49.45
M1	P4	52	mosaic embryos	0.188746	0.22605	50.49
M2	P1	90	mosaic embryos	0.127016	0.127526	52.19
M2	P2	82	mosaic embryos	0.125	0.167364	54.50
M2	P3	98	mosaic embryos	0.145045	0.175577	51.13
M2	P4	74	mosaic embryos	0.283334	0.230837	62.65
M2	P5	83	mosaic embryos	0.121951	0.167344	54.28
M3	P1	54	mosaic embryos	0.172866	0.200528	40.29
M3	P2	95	mosaic embryos	0.173913	0.212683	56.91
M3	P3	57	mosaic embryos	0.217391	0.24141	50.50
M3	P4	49	mosaic embryos	0.255814	0.267838	45.89
M3	P5	48	mosaic embryos	0.163722	0.190116	39.84
M4	P1	93	mosaic embryos	0.157895	0.164444	53.83
M4	P2	102	mosaic embryos	0.127016	0.139249	50.58
M4	P3	89	mosaic embryos	0.169492	0.193351	62.14
M4	P4	64	mosaic embryos	0.1853	0.234204	56.15
M4	P5	62	mosaic embryos	0.232738	0.218326	59.81
M5	P1	57	mosaic embryos	0.180556	0.16553	52.08
M5	P2	73	mosaic embryos	0.0921053	0.145145	59.78
M5	P3	100	mosaic embryos	0.122725	0.127284	58.26
M5	P4	77	mosaic embryos	0.261538	0.230725	47.87
M5	P5	87	mosaic embryos	0.184615	0.197319	53.70
N1	P1	81	euploid embryos	0.117647	0.132215	48.88
N1	P2	55	euploid embryos	0.166667	0.205251	51.83
N1	P3	47	euploid embryos	0.20339	0.179694	58.86
N1	P4	57	euploid embryos	0.0943396	0.134041	58.41
N1	P5	106	euploid embryos	0.126783	0.145851	54.65
N2	P1	117	euploid embryos	0.166667	0.198299	51.65
N2	P2	101	euploid embryos	0.148148	0.181148	49.40
N2	P3	83	euploid embryos	0.181818	0.191845	54.51
N2	P4	120	euploid embryos	0.136364	0.162359	60.40
N2	P5	110	euploid embryos	0.178873	0.192765	45.17
N3	P1	47	euploid embryos	0.151515	0.161628	55.39
N3	P2	86	euploid embryos	0.0967742	0.127681	61.44
N3	P3	100	euploid embryos	0.132843	0.156432	53.65
N3	P4	101	euploid embryos	0.174603	0.193085	62.06
N3	P5	14	euploid embryos	0.0604722	0.0746895	58.73
C1	P1	44	natural conceptions	0.165152	0.190069	46.84
C1	P2	60	natural conceptions	0.207304	0.18961	36.08
C1	P3	90	natural conceptions	0.127315	0.141095	44.40
C1	P4	67	natural conceptions	0.257426	0.236346	58.74
C1	P5	63	natural conceptions	0.170732	0.202174	43.86
C2	P1	34	natural conceptions	0.17154	0.184942	34.11
C2	P2	68	natural conceptions	0.144193	0.156755	50.83
C2	P3	62	natural conceptions	0.268762	0.254724	34.90
C2	P4	67	natural conceptions	0.134615	0.161783	40.80
C2	P5	54	natural conceptions	0.281746	0.273724	34.97
C3	P1	57	natural conceptions	0.144737	0.179922	85.45
C3	P2	74	natural conceptions	0.127922	0.167095	52.58
C3	P3	59	natural conceptions	0.112903	0.157664	52.71
C3	P4	53	natural conceptions	0.136842	0.157505	58.10
C3	P5	46	natural conceptions	0.113636	0.136333	56.27
