family	sample	number	group	median_VAF	mean_VAF	depth
M1	P1	10	mosaic embryos	0.132284	0.160367	60.82
M1	P2	12	mosaic embryos	0.237013	0.238319	78.29
M1	P3	8	mosaic embryos	0.230831	0.244367	49.45
M1	P4	8	mosaic embryos	0.39403	0.362516	50.49
M2	P1	8	mosaic embryos	0.117965	0.135917	52.19
M2	P2	8	mosaic embryos	0.0739677	0.0646722	54.50
M2	P3	12	mosaic embryos	0.0742647	0.0836574	51.13
M2	P4	11	mosaic embryos	0.10256410256410256	0.172942	62.65
M2	P5	13	mosaic embryos	0.0759493670886076	0.0897273	54.28
M3	P1	9	mosaic embryos	0.17857142857142858	0.212213	40.29
M3	P2	17	mosaic embryos	0.15384615384615385	0.188992	56.91
M3	P3	7	mosaic embryos	0.1346153846153846	0.17037	50.50
M3	P4	8	mosaic embryos	0.115017	0.169654	45.89
M3	P5	9	mosaic embryos	0.11842105263157894	0.110656	39.84
M4	P1	9	mosaic embryos	0.1267605633802817	0.138864	53.83
M4	P2	5	mosaic embryos	0.10526315789473684	0.113784	50.58
M4	P3	9	mosaic embryos	0.16666666666666666	0.16809	62.14
M4	P4	10	mosaic embryos	0.202068	0.20064	56.15
M4	P5	12	mosaic embryos	0.109336	0.186609	59.81
M5	P1	9	mosaic embryos	0.13157894736842105	0.153461	52.08
M5	P2	11	mosaic embryos	0.05333333333333334	0.0609793	59.78
M5	P3	16	mosaic embryos	0.0881596	0.108276	58.26
M5	P4	14	mosaic embryos	0.218874	0.210624	47.87
M5	P5	18	mosaic embryos	0.20598	0.207906	53.70
N1	P1	6	euploid embryos	0.147541	0.130769	48.88
N1	P2	14	euploid embryos	0.137436	0.165409	51.83
N1	P3	5	euploid embryos	0.13157894736842105	0.180611	58.86
N1	P4	13	euploid embryos	0.1702127659574468	0.163662	58.41
N1	P5	13	euploid embryos	0.12903225806451613	0.114933	54.65
N2	P1	16	euploid embryos	0.154509	0.177976	51.65
N2	P2	12	euploid embryos	0.102752	0.127113	49.40
N2	P3	13	euploid embryos	0.14516129032258066	0.153954	54.51
N2	P4	16	euploid embryos	0.119336	0.158872	60.40
N2	P5	20	euploid embryos	0.121324	0.153957	45.17
N3	P1	6	euploid embryos	0.119391	0.195487	55.39
N3	P2	15	euploid embryos	0.0821917808219178	0.131421	61.44
N3	P3	16	euploid embryos	0.109903	0.145867	53.65
N3	P4	16	euploid embryos	0.271701	0.225072	62.06
N3	P5	11	euploid embryos	0.06153846153846154	0.118287	58.73
C1	P1	12	natural conceptions	0.192308	0.195176	46.84
C1	P2	14	natural conceptions	0.176623	0.199979	36.08
C1	P3	14	natural conceptions	0.111998	0.122711	44.40
C1	P4	15	natural conceptions	0.23404255319148937	0.205629	58.74
C1	P5	14	natural conceptions	0.191506	0.195956	43.86
C2	P1	6	natural conceptions	0.200735	0.229663	34.11
C2	P2	9	natural conceptions	0.16923076923076924	0.157735	50.83
C2	P3	4	natural conceptions	0.262573	0.318787	34.90
C2	P4	11	natural conceptions	0.15	0.206206	40.80
C2	P5	3	natural conceptions	0.18421052631578946	0.29545	34.97
C3	P1	15	natural conceptions	0.08571428571428572	0.14798	85.45
C3	P2	13	natural conceptions	0.11764705882352941	0.13378	52.58
C3	P3	13	natural conceptions	0.12244897959183673	0.119625	52.71
C3	P4	11	natural conceptions	0.14516129032258066	0.139248	58.10
C3	P5	14	natural conceptions	0.103641	0.14054	56.27
