family	sample	number	group	median_VAF	mean_VAF	depth
M1	P1	98	mosaic embryos	0.0929277	0.153329	60.82
M1	P2	85	mosaic embryos	0.278351	0.243389	78.29
M1	P3	66	mosaic embryos	0.255435	0.254743	49.45
M1	P4	60	mosaic embryos	0.2	0.244245	50.49
M2	P1	98	mosaic embryos	0.127016	0.128211	52.19
M2	P2	90	mosaic embryos	0.113156	0.158236	54.50
M2	P3	110	mosaic embryos	0.136364	0.16555	51.13
M2	P4	85	mosaic embryos	0.23913	0.223345	62.65
M2	P5	96	mosaic embryos	0.105662	0.156833	54.28
M3	P1	63	mosaic embryos	0.175	0.202198	40.29
M3	P2	112	mosaic embryos	0.172894	0.209087	56.91
M3	P3	64	mosaic embryos	0.199664	0.23364	50.50
M3	P4	57	mosaic embryos	0.230769	0.254058	45.89
M3	P5	57	mosaic embryos	0.157895	0.177569	39.84
M4	P1	102	mosaic embryos	0.148414	0.162187	53.83
M4	P2	107	mosaic embryos	0.125	0.138059	50.58
M4	P3	98	mosaic embryos	0.168079	0.191031	62.14
M4	P4	74	mosaic embryos	0.1853	0.229668	56.15
M4	P5	74	mosaic embryos	0.22814	0.213182	59.81
M5	P1	66	mosaic embryos	0.177235	0.163884	52.08
M5	P2	84	mosaic embryos	0.0850258	0.134123	59.78
M5	P3	116	mosaic embryos	0.114614	0.124663	58.26
M5	P4	91	mosaic embryos	0.26087	0.227632	47.87
M5	P5	105	mosaic embryos	0.19767441860465115	0.199134	53.70
N1	P1	87	euploid embryos	0.117647	0.132115	48.88
N1	P2	69	euploid embryos	0.151515	0.197167	51.83
N1	P3	52	euploid embryos	0.20018	0.179782	58.86
N1	P4	70	euploid embryos	0.10265	0.139542	58.41
N1	P5	119	euploid embryos	0.126984	0.142473	54.65
N2	P1	133	euploid embryos	0.162162	0.195854	51.65
N2	P2	113	euploid embryos	0.136364	0.17541	49.40
N2	P3	96	euploid embryos	0.174774	0.186714	54.51
N2	P4	136	euploid embryos	0.132698	0.161949	60.40
N2	P5	130	euploid embryos	0.175955	0.186795	45.17
N3	P1	53	euploid embryos	0.148936	0.165461	55.39
N3	P2	101	euploid embryos	0.0921053	0.128237	61.44
N3	P3	116	euploid embryos	0.131966	0.154974	53.65
N3	P4	117	euploid embryos	0.1896551724137931	0.197459	62.06
N3	P5	25	euploid embryos	0.06153846153846154	0.0938726	58.73
C1	P1	56	natural conceptions	0.169872	0.191163	46.84
C1	P2	74	natural conceptions	0.19295	0.191572	36.08
C1	P3	104	natural conceptions	0.127315	0.13862	44.40
C1	P4	82	natural conceptions	0.253745	0.230727	58.74
C1	P5	77	natural conceptions	0.170732	0.201043	43.86
C2	P1	40	natural conceptions	0.180828	0.19165	34.11
C2	P2	77	natural conceptions	0.147541	0.156869	50.83
C2	P3	66	natural conceptions	0.268762	0.258607	34.90
C2	P4	78	natural conceptions	0.136752	0.168048	40.80
C2	P5	57	natural conceptions	0.277778	0.274868	34.97
C3	P1	72	natural conceptions	0.140707	0.173268	85.45
C3	P2	87	natural conceptions	0.125	0.162117	52.58
C3	P3	72	natural conceptions	0.119558	0.150796	52.71
C3	P4	64	natural conceptions	0.136914	0.154367	58.10
C3	P5	60	natural conceptions	0.113636	0.137314	56.27
