mut_type	proportion	all_proportion	family	sample
AtoC	0.0795455	0.0811808	M1	P1
AtoG	0.125	0.169742	M1	P1
AtoT	0.170455	0.118081	M1	P1
CtoA	0.386364	0.324723	M1	P1
CtoG	0.0795455	0.125461	M1	P1
CtoT	0.159091	0.180812	M1	P1
AtoC	0.0821918	0.0811808	M1	P2
AtoG	0.191781	0.169742	M1	P2
AtoT	0.0958904	0.118081	M1	P2
CtoA	0.232877	0.324723	M1	P2
CtoG	0.178082	0.125461	M1	P2
CtoT	0.219178	0.180812	M1	P2
AtoC	0.103448	0.0811808	M1	P3
AtoG	0.224138	0.169742	M1	P3
AtoT	0.0517241	0.118081	M1	P3
CtoA	0.396552	0.324723	M1	P3
CtoG	0.103448	0.125461	M1	P3
CtoT	0.12069	0.180812	M1	P3
AtoC	0.0576923	0.0811808	M1	P4
AtoG	0.153846	0.169742	M1	P4
AtoT	0.134615	0.118081	M1	P4
CtoA	0.269231	0.324723	M1	P4
CtoG	0.153846	0.125461	M1	P4
CtoT	0.230769	0.180812	M1	P4
AtoC	0.0666667	0.0749415	M2	P1
AtoG	0.166667	0.152225	M2	P1
AtoT	0.0666667	0.0679157	M2	P1
CtoA	0.411111	0.388759	M2	P1
CtoG	0.188889	0.124122	M2	P1
CtoT	0.1	0.192037	M2	P1
AtoC	0.097561	0.0749415	M2	P2
AtoG	0.109756	0.152225	M2	P2
AtoT	0.0853659	0.0679157	M2	P2
CtoA	0.341463	0.388759	M2	P2
CtoG	0.109756	0.124122	M2	P2
CtoT	0.256098	0.192037	M2	P2
AtoC	0.0714286	0.0749415	M2	P3
AtoG	0.183673	0.152225	M2	P3
AtoT	0.0510204	0.0679157	M2	P3
CtoA	0.397959	0.388759	M2	P3
CtoG	0.102041	0.124122	M2	P3
CtoT	0.193878	0.192037	M2	P3
AtoC	0.0945946	0.0749415	M2	P4
AtoG	0.108108	0.152225	M2	P4
AtoT	0.0675676	0.0679157	M2	P4
CtoA	0.324324	0.388759	M2	P4
CtoG	0.148649	0.124122	M2	P4
CtoT	0.256757	0.192037	M2	P4
AtoC	0.0481928	0.0749415	M2	P5
AtoG	0.180723	0.152225	M2	P5
AtoT	0.0722892	0.0679157	M2	P5
CtoA	0.457831	0.388759	M2	P5
CtoG	0.0722892	0.124122	M2	P5
CtoT	0.168675	0.192037	M2	P5
AtoC	0.12963	0.0825083	M3	P1
AtoG	0.185185	0.155116	M3	P1
AtoT	0.037037	0.049505	M3	P1
CtoA	0.37037	0.412541	M3	P1
CtoG	0.12963	0.0792079	M3	P1
CtoT	0.148148	0.221122	M3	P1
AtoC	0.0631579	0.0825083	M3	P2
AtoG	0.0631579	0.155116	M3	P2
AtoT	0.0631579	0.049505	M3	P2
CtoA	0.463158	0.412541	M3	P2
CtoG	0.0315789	0.0792079	M3	P2
CtoT	0.315789	0.221122	M3	P2
AtoC	0.0877193	0.0825083	M3	P3
AtoG	0.210526	0.155116	M3	P3
AtoT	0.0877193	0.049505	M3	P3
CtoA	0.368421	0.412541	M3	P3
CtoG	0.0877193	0.0792079	M3	P3
CtoT	0.157895	0.221122	M3	P3
AtoC	0.0612245	0.0825083	M3	P4
AtoG	0.183673	0.155116	M3	P4
AtoT	0.0408163	0.049505	M3	P4
CtoA	0.44898	0.412541	M3	P4
CtoG	0.0408163	0.0792079	M3	P4
CtoT	0.22449	0.221122	M3	P4
AtoC	0.0833333	0.0825083	M3	P5
AtoG	0.208333	0.155116	M3	P5
AtoT	0	0.049505	M3	P5
CtoA	0.375	0.412541	M3	P5
CtoG	0.145833	0.0792079	M3	P5
CtoT	0.1875	0.221122	M3	P5
AtoC	0.0860215	0.109756	M4	P1
AtoG	0.193548	0.163415	M4	P1
AtoT	0.0322581	0.0439024	M4	P1
CtoA	0.430108	0.417073	M4	P1
CtoG	0.129032	0.102439	M4	P1
CtoT	0.129032	0.163415	M4	P1
AtoC	0.0784314	0.109756	M4	P2
AtoG	0.186275	0.163415	M4	P2
AtoT	0.0392157	0.0439024	M4	P2
CtoA	0.45098	0.417073	M4	P2
CtoG	0.0882353	0.102439	M4	P2
CtoT	0.156863	0.163415	M4	P2
AtoC	0.123596	0.109756	M4	P3
AtoG	0.146067	0.163415	M4	P3
AtoT	0.0561798	0.0439024	M4	P3
CtoA	0.348315	0.417073	M4	P3
CtoG	0.11236	0.102439	M4	P3
CtoT	0.213483	0.163415	M4	P3
AtoC	0.15625	0.109756	M4	P4
AtoG	0.140625	0.163415	M4	P4
AtoT	0.0625	0.0439024	M4	P4
CtoA	0.46875	0.417073	M4	P4
CtoG	0.046875	0.102439	M4	P4
CtoT	0.125	0.163415	M4	P4
AtoC	0.129032	0.109756	M4	P5
