family	node	mut	lineage	cell_division	mean_proportion	CI_lower	CI_upper	cell_num
M1	1 	9 	1 	7 	8.54 	2 	18 	371 
M1	2 	10 	2 	8 	9.94 	2 	20 	985 
M2	1 	13 	1 	13 	14.22 	6 	26 	19120 
M2	2 	11 	2 	10 	11.36 	3 	22 	2637 
M3	1 	6 	1 	2 	4.61 	1 	12 	24 
M3	2 	9 	2 	7 	8.54 	2 	18 	371 
M4	1 	15 	1 	16 	17.08 	8 	29 	138687 
M5	1 	14 	1 	14 	15.65 	7 	27 	51350 
N1	1 	6 	1 	2 	4.61 	1 	12 	24 
N2	1 	8 	1 	2 	7.16 	2 	16 	143 
C2	1 	6 	1 	2 	4.61 	1 	12 	24 
C2	2 	11 	2 	10 	11.36 	3 	22 	2637 
C3	1 	16 	1 	17 	18.51 	9 	31 	372215 
