family	node	mut	lineage
M1	0	0	1
M1	1	1	1
M1	2	8	1
M1	0	0	2
M1	1	0	2
M1	2	1	2
M1	3	9	2
M1	4	2	2
M1	0	0	3
M1	1	0	3
M1	2	1	3
M1	3	9	3
M1	4	1	3
M1	5	2	3
M1	0	0	4
M1	1	0	4
M1	2	1	4
M1	3	9	4
M1	4	1	4
M1	5	0	4
M2	0	0	1
M2	1	1	1
M2	2	12	1
M2	3	0	1
M2	0	0	2
M2	1	1	2
M2	2	12	2
M2	3	1	2
M2	0	0	3
M2	1	1	3
M2	2	0	3
M2	3	10	3
M2	4	1	3
M2	5	1	3
M2	0	0	4
M2	1	1	4
M2	2	0	4
M2	3	10	4
M2	4	1	4
M2	5	0	4
M2	0	0	5
M2	1	1	5
M2	2	0	5
M2	3	10	5
M2	4	0	5
M3	0	0	1
M3	1	0	1
M3	2	6	1
M3	0	0	2
M3	1	4	2
M3	2	5	2
M4	0	0	1
M4	1	4	1
M4	2	11	1
M5	0	0	1
M5	1	1	1
M5	2	1	1
M5	3	4	1
M5	4	8	1
M5	5	0	1
M5	0	0	2
M5	1	1	2
M5	2	1	2
M5	3	4	2
M5	4	8	2
M5	5	2	2
M5	6	1	2
M5	0	0	3
M5	1	1	3
M5	2	1	3
M5	3	4	3
M5	4	8	3
M5	5	2	3
M5	6	1	3
N1	0	0	1
N1	1	0	1
N1	2	6	1
N2	0	0	1
N2	1	3	1
N2	2	5	1
N2	3	1	1
N2	0	0	2
N2	1	3	2
N2	2	5	2
N2	3	1	2
C2	0	0	1
C2	1	1	1
C2	2	0	1
C2	3	0	1
C2	4	10	1
C2	5	3	1
C2	0	0	2
C2	1	1	2
C2	2	0	2
C2	3	0	2
C2	4	10	2
C2	5	0	2
C2	0	0	3
C2	1	1	3
C2	2	0	3
C2	3	5	3
C3	0	0	1
C3	1	1	1
C3	2	2	1
C3	3	13	1
C3	4	0	1
C3	0	0	2
C3	1	1	2
C3	2	2	2
C3	3	13	2
C3	4	1	2
