family	sample	VAF	group	depth
M1	P1	0.313	mosaic embryos	60.82
M1	P1	0.394	mosaic embryos	60.82
M1	P1	0.291	mosaic embryos	60.82
M1	P1	0.391	mosaic embryos	60.82
M1	P2	0.356	mosaic embryos	78.29
M1	P2	0.376	mosaic embryos	78.29
M1	P2	0.317	mosaic embryos	78.29
M1	P2	0.287	mosaic embryos	78.29
M1	P2	0.278	mosaic embryos	78.29
M1	P2	0.077	mosaic embryos	78.29
M1	P3	0.277	mosaic embryos	49.45
M1	P3	0.41	mosaic embryos	49.45
M1	P3	0.274	mosaic embryos	49.45
M1	P3	0.435	mosaic embryos	49.45
M1	P3	0.241	mosaic embryos	49.45
M1	P3	0.261	mosaic embryos	49.45
M1	P4	0.364	mosaic embryos	50.49
M2	P2	0.117	mosaic embryos	54.50
M2	P2	0.065	mosaic embryos	54.50
M2	P2	0.055	mosaic embryos	54.50
M2	P4	0.102	mosaic embryos	62.65
M3	P1	0.055	mosaic embryos	40.29
M3	P1	0.302	mosaic embryos	40.29
M3	P1	0.165	mosaic embryos	40.29
M3	P2	0.068	mosaic embryos	56.91
M3	P2	0.47	mosaic embryos	56.91
M3	P3	0.176	mosaic embryos	50.50
M3	P3	0.313	mosaic embryos	50.50
M3	P3	0.406	mosaic embryos	50.50
M3	P4	0.093	mosaic embryos	45.89
M3	P4	0.444	mosaic embryos	45.89
M3	P5	0.05	mosaic embryos	39.84
M3	P5	0.14	mosaic embryos	39.84
M4	P4	0.061	mosaic embryos	56.15
M4	P4	0.267	mosaic embryos	56.15
M4	P4	0.066	mosaic embryos	56.15
M4	P5	0.027	mosaic embryos	59.81
M5	P2	0.143	mosaic embryos	59.78
M5	P4	0.254	mosaic embryos	47.87
M5	P4	0.383	mosaic embryos	47.87
M5	P4	0.093	mosaic embryos	47.87
M5	P4	0.21	mosaic embryos	47.87
M5	P4	0.311	mosaic embryos	47.87
M5	P5	0.368	mosaic embryos	53.70
M5	P5	0.323	mosaic embryos	53.70
N2	P2	0.237	euploid embryos	49.40
N2	P2	0.299	euploid embryos	49.40
N2	P2	0.168	euploid embryos	49.40
N2	P2	0.117	euploid embryos	49.40
N2	P3	0.097	euploid embryos	54.51
N2	P4	0.067	euploid embryos	60.40
N2	P4	0.309	euploid embryos	60.40
N3	P1	0.089	euploid embryos	55.39
N3	P2	0.206	euploid embryos	61.44
N3	P2	0.192	euploid embryos	61.44
N3	P3	0.137	euploid embryos	53.65
N3	P3	0.127	euploid embryos	53.65
N3	P4	0.261	euploid embryos	62.06
N3	P5	0.105	euploid embryos	58.73
C1	P2	0.336	natural conceptions	36.08
C1	P3	0.255	natural conceptions	44.40
C1	P3	0.273	natural conceptions	44.40
C1	P3	0.029	natural conceptions	44.40
C1	P4	0.338	natural conceptions	58.74
C1	P4	0.282	natural conceptions	58.74
C1	P5	0.233	natural conceptions	43.86
C2	P1	0.193	natural conceptions	34.11
C2	P1	0.276	natural conceptions	34.11
C2	P2	0.21	natural conceptions	50.83
C2	P3	0.268	natural conceptions	34.90
C2	P5	0.27	natural conceptions	34.97
C3	P1	0.052	natural conceptions	85.45
C3	P1	0.051	natural conceptions	85.45
C3	P3	0.222	natural conceptions	52.71
C3	P3	0.072	natural conceptions	52.71
C3	P5	0.058	natural conceptions	56.27
