family	sample	number	group	depth
M1	P1	4	mosaic embryos	60.82
M1	P2	6	mosaic embryos	78.29
M1	P3	6	mosaic embryos	49.45
M1	P4	1	mosaic embryos	50.49
M2	P1	0	mosaic embryos	52.19
M2	P2	3	mosaic embryos	54.50
M2	P3	0	mosaic embryos	51.13
M2	P4	1	mosaic embryos	62.65
M2	P5	0	mosaic embryos	54.28
M3	P1	3	mosaic embryos	40.29
M3	P2	2	mosaic embryos	56.91
M3	P3	3	mosaic embryos	50.50
M3	P4	2	mosaic embryos	45.89
M3	P5	1	mosaic embryos	39.84
M4	P1	0	mosaic embryos	53.83
M4	P2	0	mosaic embryos	50.58
M4	P3	0	mosaic embryos	62.14
M4	P4	2	mosaic embryos	56.15
M4	P5	0	mosaic embryos	59.81
M5	P1	0	mosaic embryos	52.08
M5	P2	1	mosaic embryos	59.78
M5	P3	0	mosaic embryos	58.26
M5	P4	5	mosaic embryos	47.87
M5	P5	2	mosaic embryos	53.70
N1	P1	0	euploid embryos	48.88
N1	P2	0	euploid embryos	51.83
N1	P3	0	euploid embryos	58.86
N1	P4	0	euploid embryos	58.41
N1	P5	0	euploid embryos	54.65
N2	P1	0	euploid embryos	51.65
N2	P2	2	euploid embryos	49.40
N2	P3	0	euploid embryos	54.51
N2	P4	2	euploid embryos	60.40
N2	P5	0	euploid embryos	45.17
N3	P1	1	euploid embryos	55.39
N3	P2	1	euploid embryos	61.44
N3	P3	2	euploid embryos	53.65
N3	P4	1	euploid embryos	62.06
N3	P5	0	euploid embryos	58.73
C1	P1	0	natural conceptions	46.84
C1	P2	1	natural conceptions	36.08
C1	P3	3	natural conceptions	44.40
C1	P4	2	natural conceptions	58.74
C1	P5	0	natural conceptions	43.86
C2	P1	1	natural conceptions	34.11
C2	P2	1	natural conceptions	50.83
C2	P3	0	natural conceptions	34.90
C2	P4	0	natural conceptions	40.80
C2	P5	1	natural conceptions	34.97
C3	P1	2	natural conceptions	85.45
C3	P2	0	natural conceptions	52.58
C3	P3	2	natural conceptions	52.71
C3	P4	0	natural conceptions	58.10
C3	P5	1	natural conceptions	56.27
